country_name,Lowest_Cumulative_Real_Return
Zimbabwe,-0.9959482735563006
"South Sudan",-0.9634894243805702
Argentina,-0.5575779961527603
Belarus,-0.5555722752966871
Suriname,-0.4977791395593625
"Venezuela, RB",-0.39773339682883624
"Iran, Islamic Rep.",-0.1538840783106583
Libya,-0.041520977243364454
Haiti,-0.03746341492424499
"Egypt, Arab Rep.",0.021471524940235076
