country_name,Lowest_GDP_Growth_Countries
"Syrian Arab Republic",-0.462014108300948
"Equatorial Guinea",-0.2963900081978651
Sudan,-0.28140360440908774
Libya,-0.2551735815241183
"South Sudan",-0.25292297358532134
"Yemen, Rep.",-0.24789461446441696
Ukraine,-0.2034084888630755
"Virgin Islands (U.S.)",-0.15817637073951518
Lebanon,-0.10946347842691029
Greece,-0.0762867137654939
