country_name,Highest_inflation_Countries
Sudan,492.0059252992356
"South Sudan",232.68998322457833
Zimbabwe,127.35290246588505
Lebanon,58.44429287333787
"Venezuela, RB",47.405763044199325
"Iran, Islamic Rep.",24.23949793475932
Suriname,16.817511558099433
Turkiye,13.821667444266394
Angola,11.194740059496091
Malawi,10.339724365886777
