country_name,Highest_GDP_Growth_Countries
Guyana,4.825918206684906
Ethiopia,2.405689661925488
Turkmenistan,2.116146543867742
Tajikistan,1.8175393816385501
China,1.684271759065274
Rwanda,1.6666054827712826
Bangladesh,1.535648922597039
Uzbekistan,1.5052007833787706
"Congo, Dem. Rep.",1.4895670475917355
Mongolia,1.4618878435151075
