country_name,Highest_Cumulative_Real_Return
Madagascar,160.92710916471677
Brazil,36.138200331325756
"Gambia, The",7.016111395659227
Malawi,6.819952221196532
Mozambique,4.706359077867297
Honduras,4.392764318839239
"Sao Tome and Principe",3.9584262763381473
Guyana,3.8630307994905984
Tajikistan,3.857498205673668
Paraguay,3.796741907821902
